identifier	fold
MSnID0000033	train
MSnID0000041	train
MSnID0000052	train
MSnID0000053	train
MSnID0000054	train
MSnID0000062	train
MSnID0000063	train
MSnID0000065	train
MSnID0000068	train
MSnID0000076	train
MSnID0000082	train
MSnID0000084	train
MSnID0000095	train
MSnID0000096	train
MSnID0000126	train
MSnID0000133	train
MSnID0000190	train
MSnID0000193	train
MSnID0000194	train
MSnID0000197	train
MSnID0000198	train
MSnID0000199	train
MSnID0000215	train
MSnID0000216	train
MSnID0000284	train
MSnID0000001	train
MSnID0000036	train
MSnID0000045	train
MSnID0000049	train
MSnID0000050	train
MSnID0000051	train
MSnID0000059	train
MSnID0000085	train
MSnID0000087	train
MSnID0000102	train
MSnID0000103	train
MSnID0000110	train
MSnID0000112	train
MSnID0000113	train
MSnID0000114	train
MSnID0000115	train
MSnID0000135	train
MSnID0000153	train
MSnID0000170	train
MSnID0000173	train
MSnID0000182	train
MSnID0000238	train
MSnID0000239	train
MSnID0000248	train
MSnID0000256	train
MSnID0000259	train
MSnID0000261	train
MSnID0000262	train
MSnID0000007	train
MSnID0000029	train
MSnID0000048	train
MSnID0000070	train
MSnID0000075	train
MSnID0000078	train
MSnID0000121	train
MSnID0000122	train
MSnID0000130	train
MSnID0000134	train
MSnID0000138	train
MSnID0000139	train
MSnID0000150	train
MSnID0000152	train
MSnID0000162	train
MSnID0000163	train
MSnID0000164	train
MSnID0000165	train
MSnID0000174	train
MSnID0000185	train
MSnID0000204	train
MSnID0000207	train
MSnID0000235	train
MSnID0000243	train
MSnID0000244	train
MSnID0000249	train
MSnID0000250	train
MSnID0000283	train
MSnID0000017	train
MSnID0000019	train
MSnID0000020	train
MSnID0000032	train
MSnID0000037	train
MSnID0000061	train
MSnID0000067	train
MSnID0000080	train
MSnID0000081	train
MSnID0000111	train
MSnID0000116	train
MSnID0000127	train
MSnID0000128	train
MSnID0000129	train
MSnID0000132	train
MSnID0000151	train
MSnID0000161	train
MSnID0000183	train
MSnID0000186	train
MSnID0000202	train
MSnID0000203	train
MSnID0000209	train
MSnID0000210	train
MSnID0000219	train
MSnID0000220	train
MSnID0000229	train
MSnID0000232	train
MSnID0000234	train
MSnID0000002	val
MSnID0000011	val
MSnID0000021	val
MSnID0000023	val
MSnID0000030	val
MSnID0000058	val
MSnID0000060	val
MSnID0000077	val
MSnID0000105	val
MSnID0000109	val
MSnID0000154	val
MSnID0000155	val
MSnID0000166	val
MSnID0000168	val
MSnID0000187	val
MSnID0000195	val
MSnID0000196	val
MSnID0000205	val
MSnID0000208	val
MSnID0000223	val
MSnID0000224	val
MSnID0000236	val
MSnID0000242	val
MSnID0000247	val
MSnID0000252	val
MSnID0000253	val
MSnID0000254	val
MSnID0000272	val
MSnID0000281	val
MSnID0000010	test
MSnID0000012	test
MSnID0000013	test
MSnID0000014	test
MSnID0000016	test
MSnID0000043	test
MSnID0000093	test
MSnID0000094	test
MSnID0000118	test
MSnID0000140	test
MSnID0000157	test
MSnID0000158	test
MSnID0000184	test
MSnID0000206	test
MSnID0000212	test
MSnID0000213	test
MSnID0000217	test
MSnID0000222	test
MSnID0000246	test
MSnID0000251	test
MSnID0000263	test
MSnID0000264	test
MSnID0000265	test
MSnID0000266	test
MSnID0000274	test
MSnID0000275	test
MSnID0000276	test
MSnID0000277	test
MSnID0000278	test
